published;INSTANSI;KODE;company;amount;NOMOR AWAL;code;lembar;total
2011-06-17;ADPEL;9078;78;2;0;111;1;2
2010-04-23;ADPEL;9012;12;5;306;355;50;250
2010-05-21;ADPEL;9012;12;5;456;505;50;250
2011-09-09;ADPEL;9012;12;5;601;800;200;1,000
2011-11-21;ADPEL;9012;12;10;1782;1800;19;190
2011-11-21;ADPEL;9012;12;10;1801;1857;57;570
2011-11-24;ADPEL;9012;12;10;1858;1957;100;1,000
2011-11-24;ADPEL;9012;12;5;2428;2461;34;170
2010-10-27;ADPEL;9012;12;5;2401;2600;200;1,000
2011-05-20;ADPEL;9012;12;10;3070;3100;31;310
2011-05-20;ADPEL;9012;12;10;3301;3319;19;190
2012-02-17;ADPEL;9012;12;10;3501;3600;100;1,000
2011-11-24;ADPEL;9012;12;3;3821;3870;50;150
2012-02-17;ADPEL;9012;12;5;3801;4000;200;1,000
2011-06-17;ADPEL;9078;78;10;4362;4410;49;490
2012-05-24;ADPEL;9078;78;5;5701;5900;200;1,000
2011-09-09;ADPEL;9012;12;10;7349;7400;52;520
2011-09-09;ADPEL;9012;12;10;7801;7868;68;680
2012-12-04;ADPEL;9012;12;1;0;8229;1;1
2010-10-27;ADPEL;9012;12;10;9801;9900;100;1,000
2012-12-04;ADPEL;9012;12;3;9926;9992;67;201
2011-02-09;ADPEL;9012;12;5;10635;10699;65;325
2011-11-21;ADPEL;9012;12;10;11777;11800;24;240
2011-06-17;ADPEL;9078;78;5;13364;13412;49;245
2011-06-23;ADPEL;9078;78;5;13501;13700;200;1,000
2010-04-23;ADPEL;9012;12;10;16101;16200;100;1,000
2010-05-21;ADPEL;9012;12;10;16309;16408;100;1,000
2012-12-04;ADPEL;9012;12;10;17102;17179;78;780
2012-12-24;ADPEL;9078;78;10;19196;19284;89;890
2011-11-25;ASST.III SEKDA;9087;87;10;2101;2200;100;1,000
2010-03-12;BAPEDA SUP.;9056;56;3;6488;6516;29;87
2010-03-12;BAPEDA SUP.;9056;56;2;6517;6517;1;2
2010-03-12;BAPEDA SUP.;9056;56;10;14922;15006;85;850
2011-07-25;BPBD;9091;91;2;0;115;1;2
2011-07-25;BPBD;9091;91;3;1287;1420;134;402
2011-07-25;BPBD;9091;91;10;5966;6100;135;1,350
2011-09-17;BPDB;9091;91;5;0;904;1;5
2011-12-16;BPDB;9091;91;10;1550;1617;68;680
2011-12-16;BPDB;9091;91;2;0;2062;1;2
2011-12-16;BPDB;9091;91;3;4311;4345;35;105
2011-09-17;BPDB;9091;91;10;9090;9132;43;430
2011-04-28;BPKAD;9088;88;2;3;54;52;104
2011-04-28;BPKAD;9088;88;10;1980;2046;67;670
2011-04-27;BPMK;9085;85;3;1;20;20;60
2011-08-13;BPMK;9085;85;5;31;60;30;150
2011-08-13;BPMK;9085;85;2;0;116;1;2
2010-05-20;BPMK;9085;85;5;356;455;100;500
2011-04-27;BPMK;9085;85;10;1883;1898;16;160
2011-08-13;BPMK;9085;85;3;1826;2071;246;738
2010-10-13;BPMK;9085;85;5;2188;2238;51;255
2010-10-13;BPMK;9085;85;3;2239;2239;1;3
2012-05-23;BPMK;9085;85;5;5161;5210;50;250
2010-01-05;BPMK;9085;85;5;5965;5987;23;115
2010-01-05;BPMK;9085;85;4;5988;5988;1;4
2011-08-13;BPMK;9085;85;10;6596;6610;15;150
2012-05-23;BPMK;9085;85;3;6260;6699;440;1,320
2012-05-23;BPMK;9085;85;1;0;6700;1;1
2010-01-05;BPMK;9085;85;10;12250;12279;30;300
2011-04-27;BPMK;9085;85;5;12345;12385;41;205
2010-05-20;BPMK;9085;85;10;16056;16100;45;450
2010-05-20;BPMK;9085;85;10;16301;16308;8;80
2011-04-27;BPMK;9085;85;3;17663;17900;238;714
2011-08-15;BUPATI;9056;56;1;0;117;1;1
2011-10-27;BUPATI;9056;56;5;1179;1265;87;435
2011-12-15;BUPATI;9056;56;10;1304;1394;91;910
2011-12-15;BUPATI;9056;56;8;0;1395;1;8
2012-04-03;BUPATI;9056;56;5;0;4472;1;5
2012-04-03;BUPATI;9056;56;10;4689;4700;12;120
2012-04-03;BUPATI;9056;56;10;5386;5400;15;150
2012-04-03;BUPATI;9056;56;10;5401;5510;110;1,100
2012-04-03;BUPATI;9056;56;10;5621;5636;16;160
