published;INSTANSI;KODE;company;amount;NOMOR AWAL;code;lembar;total
2012-09-11;POLRES BIAK;8002;2;10;1;100;100;1,000
2012-10-08;POLRES BIAK;8002;2;10;101;600;500;5,000
2012-10-09;DENBEKANG;8001;1;10;601;615;15;150
2013-10-30;DPU.SUP;8026;26;10;616;700;85;850
2013-10-24;BUPATI;8056;56;10;701;853;153;1,530
2013-10-30;DPU.SUP;8026;26;10;854;868;15;150
2012-11-02;POM;8092;92;10;869;878;10;100
2012-11-09;POLRES SUPIORI;8002;2;10;879;900;22;220
2012-11-01;DENBEKANG;8001;1;10;901;1000;100;1,000
2012-11-30;DPRD SUPIORI;8093;93;10;1001;1027;27;270
2012-12-04;RSUD;8083;83;10;1028;1038;11;110
2012-12-05;POM;8092;92;10;1039;1048;10;100
2012-12-05;POLRES BIAK;8002;2;10;1049;1118;70;700
2012-12-06;KESPEL;8053;53;10;1119;1148;30;300
2012-11-09;POLRES SUPIORI;8002;2;10;1101;1178;78;780
2012-11-22;PN;8048;48;10;1179;1183;5;50
2012-11-30;DPRD SUPIORI;8093;93;10;1184;1200;17;170
2012-12-04;DENBEKANG;8001;1;10;1201;1300;100;1,000
2012-12-19;RSUD;8083;83;10;1349;1568;220;2,200
2012-12-19;PERINDAG;8062;62;10;1569;1572;4;40
2012-12-12;BUPATI;8056;56;10;1573;1703;131;1,310
2013-01-07;POM;8092;92;10;1704;1713;10;100
2013-01-07;DENBEKANG;8001;1;10;1714;1813;100;1,000
2013-02-01;POM;8092;92;10;1814;1823;10;100
2013-02-11;DENBEKANG;8001;1;10;1824;1923;100;1,000
2013-01-17;POLRES BIAK;8002;2;10;1901;2000;100;1,000
2010-01-05;PDAM;8007;7;20;3423;3462;40;800
2010-01-25;METEO;8035;35;20;3463;3512;50;1,000
2010-02-01;PDAM;8007;7;20;3513;3538;26;520
2010-03-01;PDAM;8007;7;20;3539;3569;31;620
2010-03-03;DINKES.SUP;8083;83;20;3570;3624;55;1,100
2010-03-12;BAPPEDA.SUP;8056;56;20;3625;3632;8;160
2010-07-01;PDAM;8007;7;20;3633;3677;45;900
2010-08-02;PDAM;8007;7;20;3753;3779;27;540
2010-08-24;KESBANG;8088;88;20;3780;3784;5;100
2010-09-02;PDAM;8007;7;20;3785;3804;20;400
2010-10-05;PDAM;8007;7;20;3805;3829;25;500
2010-10-09;METEO;8035;35;20;3830;3879;50;1,000
2010-11-01;PDAM;8007;7;20;3880;3905;26;520
2010-11-06;K3PAK;8069;69;20;3906;3955;50;1,000
2010-12-02;PDAM;8007;7;20;3956;3980;25;500
2010-12-11;METEO;8035;35;20;3981;4000;20;400
2010-12-11;METEO;8035;35;20;4301;4330;30;600
2011-01-13;P3PAK;8089;89;20;4331;4339;9;180
2011-01-03;PDAM;8007;7;20;4340;4374;35;700
2011-01-13;P3PAK;8089;89;20;4375;4415;41;820
2011-02-13;PDAM;8007;7;20;4416;4438;23;460
2011-03-03;PDAM;8007;7;20;4439;4466;28;560
2011-04-01;PDAM;8007;7;20;4467;4489;23;460
2011-04-06;METEO;8035;35;20;4490;4539;50;1,000
2011-05-02;PDAM;8007;7;20;4540;4561;22;440
2011-06-01;PDAM;8007;7;20;4562;4587;26;520
2010-01-05;BPMK;8085;85;10;4605;4615;11;110
2011-07-04;PDAM;8007;7;20;4588;4620;33;660
2011-09-13;PDAM;8007;7;20;4621;4662;42;840
2011-10-05;PDAM;8007;7;20;4663;4677;15;300
2011-11-08;PDAM;8007;7;20;4678;4701;24;480
2011-12-05;PDAM;8007;7;20;4702;4722;21;420
2012-01-06;PDAM;8007;7;20;4723;4745;23;460
2012-02-08;PDAM;8007;7;20;4746;4772;27;540
2012-02-28;DINKES;8083;83;20;4773;4792;20;400
2012-03-05;PDAM;8007;7;20;4793;4818;26;520
2010-01-27;DINKES.SUP;8083;83;10;4616;4835;220;2,200
2012-04-02;PDAM;8007;7;20;4819;4835;17;340
2010-01-27;DINKES.SUP;8083;83;5;0;4836;1;5
